project_id_original,project_id,researcher,title,institution,award_amount
CB-2002,39783,Luigi Augusto Solari Lovati,"Geocronología de U-Pb, isotopía y geología estructural en las migmatitas del Complejo Xolapa, Edo de Guerrero.",Universidad Nacional Autónoma de México,1378450
CB-2002,39785,Arturo Gómez Tuena,Magmatismo Adakítico en la Faja Volcánica Transmexicana: Petrogénesis e Implicaciones Tectónicas,Universidad Nacional Autónoma de México,1197000
CB-2002,39786,Laura Marta Guerrero Guadarrama,"Entre la escritura y la trama, la subversión en la literatura infantil en México en las últimas décadas","Universidad Iberoamericana, A.C.",177175
CB-2002,39795,Oscar Fernando Contreras Montellano,Trabajadores del conocimiento. Consecuencias educativas y ocupacionales de la economia digital en el norte de Mexico,El Colegio de Sonora,887430
CB-2002,39800,José Alonso Fernández Guasti,Interacción de andrógenos con ansiolíticos y antidepresivos: posibles mecanismos,Centro de Investigación y de Estudios Avanzados del IPN,972951
CB-2002,39801,Luc Julien Jerome Dendooven Vanderbeken,Efecto de la salinidad y la alcalinidad sobre los procesos de nitrificación y desnitrificación en suelos salino-alcalinos,Centro de Investigación y de Estudios Avanzados del IPN,2433435
CB-2002,39804,Maricela Rodriguez Cruz,Efecto de los lipidos de la dieta  sobre la biosintesis de acidos grasos poliinsaturados (pufas) y la regulacion de la expresion genica de las enzimas del metabolismo de pufas en la lactancia,Instituto Mexicano del Seguro Social ,1246138
CB-2002,39805,Sergio Manuel Nuño Donlucas,"Síntesis, Caracterización y Utilización de Polímeros Capaces de Actuar como Compatibilizantes en Mezclas Inmiscibles de Polímeros",Universidad de Guadalajara,416100
CB-2002,39820,Mariana Nikolova Kirchbach,Dinámica de Resonancias Barionicas,Universidad Autónoma de San Luis Potosí,310650
CB-2002,39822,Marcia Hiriart Urdanivia,Mecanismos de modulación de la secreción de insulina,Universidad Nacional Autónoma de México,1728882
CB-2002,39827,Isabelle Marie Christine Rousseau Chaigneau,Las transformaciones de la Política Petrolera en México en el marco de una industria globalizada 1989-2003,"El Colegio de México, A.C.",640079
CB-2002,39835,J.Apolinar Reynoso Hernández,Caracterización Electro-Óptica de Transistores y Circuitos de Alta Frecuencia,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",1900000
CB-2002,39841,Ana María Sifuentes Rincón,Caracterización molecular de regiones génicas asociadas a características productivas en ganado bovino,Instituto Politécnico Nacional,948338
CB-2002,39860,Diego Ricardo Felix Grijalva,Fisiología molecular de los canales de calcio sensibles a voltaje: Regulación por la subunidad auxiliar alpha2delta,Centro de Investigación y de Estudios Avanzados del IPN,598056
CB-2002,39862,Petra Wiederhold Grauert,Contribuciones a Geometría y Topología Digital basada en Complejos Celulares,Centro de Investigación y de Estudios Avanzados del IPN,161500
CB-2002,39865,Ulises Meza Villanueva,Elementos estructurales implicados en la modulación de los canales de calcio tipo R (CaV2.3) por proteínas G,Universidad Autónoma de San Luis Potosí,741040
CB-2002,39866,Edgar Nelson Sánchez  Camperos,Control Neuronal y Control Difuso: Del Análisis a Las Aplicaciones,Centro de Investigación y de Estudios Avanzados del IPN,666000
CB-2002,39867,Pratap Narayan Sahay Sahay,Naturaleza de Ondas Sísmicas en Medios Porosos,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",442699
CB-2002,39886,Francisco Javier De la Hidalga Wade,Desarrollo de una Tecnología CMOS en Silicio de Alto Indice Cristalino,"Instituto Nacional de Astrofísica, Optica y Electrónica",1251350
CB-2002,39888,Laurence Annie Marchat Marchau,Análisis molecular de algunos factores involucrados en la estabilidad y procesamiento del extremo 3¿ del RNAm en Entamoeba histolytica,Instituto Politécnico Nacional,551000
