project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
,,Design and development of modular multilevel converters for large scale grid connected Photovoltaic and Battery Energy storage systems,Design and development of modular multilevel converters for large scale grid connected Photovoltaic and Battery Energy storage systems,,,,,"Anandarup Das
Raymundo E. Torres-Olguin",,"Indian Institute of Technology
SINTEF Energi AS SemSælandsvei",,,,,,,,,,,,,,,
,,Integrated Renewable Resources and Storage: Operation and Management,Integrated Renewable Resources and Storage: Operation and Management,,,,,"Dr. (Mrs) Richa Negi
Dr. Nand Kishor",,"Motilal Nehru National Institute of Technology 
Department of Engineering Sciences University of Agde",,,,,,,,,,,,,,,
,,Czochralski Growth of Low- Oxygen Silicon Single Crystals for High-efficiency solar cell Applications,Czochralski Growth of Low- Oxygen Silicon Single Crystals for High-efficiency solar cell Applications,,,,,"Dr. Anil Kottantharayil
Dr. Martin Bellmann",,"Department of Electrical Engineering, IIT
SINTEF Materials technology",,,,,,,,,,,,,,,
,,Grid Interconnection protocols for largely dispersed minigrids/microgrids for electrification of rural India,Grid Interconnection protocols for largely dispersed minigrids/microgrids for electrification of rural India,,,,,"Dr. Chandrasekhar Perumalla
Dr. Merkebu Zenebe Degefa",,"School of Electrical Sciences, Indian Institute of Technology
SINTEF Energi AS",,,,,,,,,,,,,,,
,,Exploring Design Options for New Optical Telescopes in South Africa and India,Exploring Design Options for New Optical Telescopes in South Africa and India,,,,,"Dr. Padmakar Singh
Dr. David A.H. Buckley",,"Parihar, Indian Institute of Astrophysics, Bangalore
SALT Scientist, SAAO",,,,,,,,,,,,,,,
,,SKA1 Telescope Manager Test Environment and Simulation Framework Prototype,SKA1 Telescope Manager Test Environment and Simulation Framework Prototype,,,,,"Dr. Yashwant Gupta
Dr. Neilen Marais,",,"National Centre for Radio Astrophysics- TIFR, Pune
Control and Monitoring, SKA,",,,,,,,,,,,,,,,
,,Evolution of cold gas in Gas in Galaxies : large surveys using radio and optical Telescopes,Evolution of cold gas in Gas in Galaxies : large surveys using radio and optical Telescopes,,,,,"Prof. Neeraj Gupta
Prof. Jonathan Sievers",,"Inter University Centre for Astronomy and Astrophysics (IUCAA),
Pune
University of KwaXulu- Natal, Durban",,,,,,,,,,,,,,,
,,"Developing Machine Learning Tools for Big Data MeerKAT, MeerLIGHT, GMRT, SALT and the SKA","Developing Machine Learning Tools for Big Data MeerKAT, MeerLIGHT, GMRT, SALT and the SKA",,,,,"Dr. Ninan Sajeeth Philip
Prof. Bruce Bassett",,"St. Thomas College (Mahatma Gandhi University), Kozhencherri
SAAO/UCT/AIMS, Mathematics, Observatory, Cape Town",,,,,,,,,,,,,,,
,,Joint Exploration of the Deep Radio Sky with MeerKAT and the GMRT : The Pathway to the SKA,Joint Exploration of the Deep Radio Sky with MeerKAT and the GMRT : The Pathway to the SKA,,,,,"Dr. Dharam Vir Lal
Prof. Russ Taylor",,"National Centre for Radio Astrophysics, NCRA- TIFR, Pune
University of Cape Town and University of the Western Cape",,,,,,,,,,,,,,,
,,"Galaxy Evolution: simulation, observations and data analysis","Galaxy Evolution: simulation, observations and data analysis",,,,,"Prof. Kanak Saha
Dr. Sudhanshu Barway",,"Inter University Centre for Astronomy and Astrophysics, Pune
South African Astronomical Observatory (SAAO), Cape Town",,,,,,,,,,,,,,,
,,Astronomical compact objects to probe gravitational theories (Enhanced Scientific Exchange),Astronomical compact objects to probe gravitational theories (Enhanced Scientific Exchange),,,,,"Prof. Sushant G.Ghosh
Prof. Sunil Maharaj",,"Jamia Millia Islamia, New Delhi
University of KwaZulu-Natal, Durban",,,,,,,,,,,,,,,
,,"Extragalactic Astronomy and Cosmology using GMRT, MeerKAT and the SKA :Workshop","Extragalactic Astronomy and Cosmology using GMRT, MeerKAT and the SKA :Workshop",,,,,"Dr. Tirthankar Roy Choudhury
Dr. Mario Santos",,"National Centre for Radio Astrophysics, NCRA- TIFR, Pune
University of the Western Cape, South Africa",,,,,,,,,,,,,,,
,,Molecular-physiological Characterization of Epigenetic Components Affecting Plant Development Under Drought and High Temperature Stress,Molecular-physiological Characterization of Epigenetic Components Affecting Plant Development Under Drought and High Temperature Stress,,,,,"Prof. Sanjay Kapoor
Dr. Hatem El-Shabrawi",,"Department of Plant Molecular Biology, University of Delhi
GE & Biotech. Div; NRC",,,,,,,,,,,,,,,
,,Regulation of the Gonadotrophin- ovarian Axis by kisspeptin Kiss1/R System in cattle and Buffaloes,Regulation of the Gonadotrophin- ovarian Axis by kisspeptin Kiss1/R System in cattle and Buffaloes,,,,,"Dr Mohan Mondal
Dr. Hassan Shawky Mohamed Youssef",,"ICAR- NDRI, Eastern Regional Station, Kalyani, West Bengal
Reproduction Research Institute, Egypt",,,,,,,,,,,,,,,
,,Identification and Analysis of microRNA Involved in Regulating Heat Stress Responses in Tomato,Identification and Analysis of microRNA Involved in Regulating Heat Stress Responses in Tomato,,,,,"Neeti Sanan Mishra
Dr. Moahmed Abdelsattar Hassan Ali",,"Plant RNAi Biology, ICGEB, New Delhi
A.G.E.R.I. , Egypt",,,,,,,,,,,,,,,
,,Molecular characterization of major candidate genes associated with milk quality in Egyptian and Indian buffaloes,Molecular characterization of major candidate genes associated with milk quality in Egyptian and Indian buffaloes,,,,,"Dr Vinod Chhokar
Dr. Hossam E. Rushdi",,"University of Science and Technology, Hisar
Dept. of Animal Production, Faculty of Agriculture, Cairo",,,,,,,,,,,,,,,
,,"Synthesis, spectroscopic characterization and molecular modeling studies of new metal chelates as therapeutle agents","Synthesis, spectroscopic characterization and molecular modeling studies of new metal chelates as therapeutle agents",,,,,"Prof. Prasad V. Bharatam
Prof. Abhou Saad El- Table",,"Dept. of Medicinal Chemistry, NIPER Mohali
Chemistry Dept. Faculty of Science, Menoufia , Egypt",,,,,,,,,,,,,,,
,,Liposome Encapsulated Azadiradione for triple negative breast cancer treatment.,Liposome Encapsulated Azadiradione for triple negative breast cancer treatment.,,,,,"Dr. Ajaikumar B. Kunnumakkara
Farid A. Badri ",,"Department of Biosciences and Bioengineering, IIT, Guwahati.
Mansoura University, Egypt",,,,,,,,,,,,,,,
,,Performance Improvement in Indoor Visible LightCommunication (VLC) System using MIMO-OFDM basedTechniques,Performance Improvement in Indoor Visible LightCommunication (VLC) System using MIMO-OFDM basedTechniques,,,,,"Prof. Anand Srivastava
Dr. Hossam A.I. Selmy",,"Electronics & Communication Engineering, IIIT Delhi
Cairo Univesity , Giza, Egypt.",,,,,,,,,,,,,,,
