project_id,project_id_original,title,title_en,project_url,keyword,keyword_en,source,researcher,researcher_en,institutation,country,currency,award_amount,award_amount_usd,funded_date,start_date,end_date,project_term,start_year,end_year,description,description_raw,description_en,created_date,updated_date
DST/INT/UK/P- 122/2016,,Nonlinear Interaction between Extreme Waves and Floating Bodies with Deformable Structures,Nonlinear Interaction between Extreme Waves and Floating Bodies with Deformable Structures,,,,,"Shiqiang Yan
V. Sriram",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 123/2016,,Mode of CD40 clustering dictates its functional duality,Mode of CD40 clustering dictates its functional duality,,,,,"Christoph G. Baumann
Bhaskar Saha",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 124/2016,,Novel Computational Methodologies for Modelling and Characterization of Corrosion Pitting and cracking in Metallic Structures,Novel Computational Methodologies for Modelling and Characterization of Corrosion Pitting and cracking in Metallic Structures,,,,,"Robert Akid
S. Gopalakrishnan",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 125/2016,,"Theoretical and experimental studies of suspensions of magnetic nanoparticles, their applications and generalizations.","Theoretical and experimental studies of suspensions of magnetic nanoparticles, their applications and generalizations.",,,,,"Apala Majumdar
Varsha Banerjee",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 126/2016,,Environmental adaptation and resilience to climate change: investigating the sustainability of the Indus Civilisation (Indus,Environmental adaptation and resilience to climate change: investigating the sustainability of the Indus Civilisation (Indus,,,,,"Cameron Andrew Petrie
Ravindra Nath Singh",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 127/2016,,Tidal Energy for Sustainable Village Electricity Supply in the Indian Sundarbans Biosphere,Tidal Energy for Sustainable Village Electricity Supply in the Indian Sundarbans Biosphere,,,,,"Vengatesan Venugopal
Prasad Kumar Bhaskaran",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 128/2016,,Development of Cost- effective and Green Assay Technology for the Selective Detection of Toxic Metal Ions using Functionalized Gold Nanoparticles.,Development of Cost- effective and Green Assay Technology for the Selective Detection of Toxic Metal Ions using Functionalized Gold Nanoparticles.,,,,,"Brian G Cousins
Nilotpala Pradhan",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 129/2016,,Big Data Aware High Capacity Wireless Network Architecture Using Caching and Machine Learning,Big Data Aware High Capacity Wireless Network Architecture Using Caching and Machine Learning,,,,,"Tharmalingam Ratnarajah
Vimal Bhatia",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 130/2016,,"Nature and nurture in arsenic induced toxicity of Bihar, India","Nature and nurture in arsenic induced toxicity of Bihar, India",,,,,"Debapriya Mondal
Shatrunjay Kumar Singh",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 131/2016,,Facilitating the Intelligent Management of Chronic Wounds in Diabetic Patients: Developing Accessible Wound Monitoring Technologies,Facilitating the Intelligent Management of Chronic Wounds in Diabetic Patients: Developing Accessible Wound Monitoring Technologies,,,,,"James Davis
Ashish Mathur",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 132/2016,,Engineering novel electronic and magnetic states in pyrochlore iridates - multifunctional materials for next generation devices,Engineering novel electronic and magnetic states in pyrochlore iridates - multifunctional materials for next generation devices,,,,,"Niladri Banerjee
Subham Majumdar",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 133/2016,,Miniaturised particulate sensors for climate science,Miniaturised particulate sensors for climate science,,,,,"Ashwin A. Seshia
Maryam Shojaei Baghini",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 134/2016,,Investigating BRCAness in epithelial ovarian cancer (EOC) in India to develop stratified surgical and chemotherapy options,Investigating BRCAness in epithelial ovarian cancer (EOC) in India to develop stratified surgical and chemotherapy options,,,,,"Nicola Curtin
Asima Mukhopadhyay",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 135/2016,,Understanding Recent Extreme Events in India in the Context of Climate Change,Understanding Recent Extreme Events in India in the Context of Climate Change,,,,,"Friederike E. L. Otto
Arpita Mondal",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 136/2016,,"Investigating the regulation and manipulation of autophagy, mitophagy and xenophagy upon ycobacterium tuberculosis infection in human embryonic stem cell-derived macrophages.","Investigating the regulation and manipulation of autophagy, mitophagy and xenophagy upon ycobacterium tuberculosis infection in human embryonic stem cell-derived macrophages.",,,,,"Sovan Sarkar
Dhiraj Kumar",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 137/2016,,Concentrated Photovoltaic (CPV) Assisted Tandem Artificial Photosynthetic (AP) Device for Effective Solar-to-Chemical Conversion,Concentrated Photovoltaic (CPV) Assisted Tandem Artificial Photosynthetic (AP) Device for Effective Solar-to-Chemical Conversion,,,,,"ASIF ALI TAHIR
Bala Pesala",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 138/2016,,Data-Driven Intelligent Energy Management for Environmentally Sustainable Energy Access,Data-Driven Intelligent Energy Management for Environmentally Sustainable Energy Access,,,,,"Aristides E Kiprakis
Naran M. Pindoriya",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 139/2016,,A Wearable Fetal Movement Monitor for Prenatal Care in Community Medicine Practice,A Wearable Fetal Movement Monitor for Prenatal Care in Community Medicine Practice,,,,,"Ravi Vaidyanathan
Suresh Devasahayam",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 140/2016,,Bio-Climate Feedbacks of Melting Himalayan Ice,Bio-Climate Feedbacks of Melting Himalayan Ice,,,,,"Jemma L. Wadham
A.L. Ramanathan",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 141/2016,,"Understanding differences in the patterns of osteoarthritis in Indian and Western population: Impact on symptoms, treatment options and their outcome","Understanding differences in the patterns of osteoarthritis in Indian and Western population: Impact on symptoms, treatment options and their outcome",,,,,"Hemant Pandit
Rajesh Malhotra",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 142/2016,,Advancing MEG based Brain-Computer Interface Supported Upper Limb Post- Stroke Rehabilitation,Advancing MEG based Brain-Computer Interface Supported Upper Limb Post- Stroke Rehabilitation,,,,,"Girijesh Prasad
Ashish Dutta",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 143/2016,,Estimating silicate weathering in a rising CO2 world from river water chemistry and lab-experiments: implications for future climate models,Estimating silicate weathering in a rising CO2 world from river water chemistry and lab-experiments: implications for future climate models,,,,,"Alexandra Turchyn
Ramananda Chakrabarti",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 144/2016,,Towards an integrated approach for assessing the impact of climatic stresses on agriculture and the exchange of greenhouse gas on the Indo-Gangetic Plain,Towards an integrated approach for assessing the impact of climatic stresses on agriculture and the exchange of greenhouse gas on the Indo-Gangetic Plain,,,,,"Hartmut Boesch
Sachchida Tripathi",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 145/2016,,Ultrasound based assessment of tissue biomechanics to enhance the clinical management of foot related pathologies,Ultrasound based assessment of tissue biomechanics to enhance the clinical management of foot related pathologies,,,,,"Nachiappan Chockalingam
Muthaiah Rajappa",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 146/2016,,"Learning Robotic Motor Skills, Visual Control and Perception for Warehouse Automation","Learning Robotic Motor Skills, Visual Control and Perception for Warehouse Automation",,,,,"Sethu Vijayakumar
Laxmidhar Behera",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 147/2016,,Investigation of neurodegeneration associated with defective DNA break repair,Investigation of neurodegeneration associated with defective DNA break repair,,,,,"Sherif El-Khamisy
K. Satyamoorthy",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 148/2016,,Pursuit of Novel and Enhanced Optoelectronic Effects in Hybrid Perovskite Based Nanostructures,Pursuit of Novel and Enhanced Optoelectronic Effects in Hybrid Perovskite Based Nanostructures,,,,,"Sir Richard Friend
Satishchandra B. Ogale",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 149/2016,,Role of Entropy and information encoding in Guided Self- Assembly of Materials,Role of Entropy and information encoding in Guided Self- Assembly of Materials,,,,,"Daan Frenkel
Srikanth Sastry",,,,,,,,,,,,,,,,,
DST/INT/UK/P- 150/2016,,Non-parametric Smart Sensing Analytics based on Large Spectrum Data and Estimation of Channel Activity Statistics,Non-parametric Smart Sensing Analytics based on Large Spectrum Data and Estimation of Channel Activity Statistics,,,,,"Miguel López-Benítez
Dhaval K. Patel",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-151/2017,,Bioinspired green catalysts for water purification,Bioinspired green catalysts for water purification,,,,,"Chivukula Sastri
Samuel de Visser",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-152/2017,,"Monitoring of PAHs and heavy metals in sediments of industrial estuaries, Glasgow and Yamuna River: PCR based detection of catabolic plasmids/genes in PAHs degrading and multi resistant bacterial isolates and their genotoxic potential","Monitoring of PAHs and heavy metals in sediments of industrial estuaries, Glasgow and Yamuna River: PCR based detection of catabolic plasmids/genes in PAHs degrading and multi resistant bacterial isolates and their genotoxic potential",,,,,"Abdul Malik
Charles W.Knapp",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-153/2017,,Sensing and Security for Smart IoT,Sensing and Security for Smart IoT,,,,,"Kumar Mallik
Maged Elkashlan,Queen Mary",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-154/2017,,Using sedimentary DNA to unravel the long-term impact of environmental changes on human health and subsistence in India,Using sedimentary DNA to unravel the long-term impact of environmental changes on human health and subsistence in India,,,,,"Niraj Rai
Eske Willerslev",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-155/2017,,An advanced integrated process for the treatment of sewage plant effluent using bio-based antimicrobial metal biosorbents and photocatalytic nanocomposite materials,An advanced integrated process for the treatment of sewage plant effluent using bio-based antimicrobial metal biosorbents and photocatalytic nanocomposite materials,,,,,"Lalit M Pandey
K. H. Aaron Lau",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-156/2017,,Capacity building in rhizobacteria mediated plant stress resistance for Indian agriculture,Capacity building in rhizobacteria mediated plant stress resistance for Indian agriculture,,,,,"Meenu Saraf
Martin Buck",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-157/2017,,Natural-Coloured Functionally Graded Rubberised Geopolymer System: A cement-less solution for optimised concrete paver manufacturing,Natural-Coloured Functionally Graded Rubberised Geopolymer System: A cement-less solution for optimised concrete paver manufacturing,,,,,"Sandeep Chaudhary
Yong Lu",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-158/2017,,"An In-depth Analysis of Abuses in Social Media – Integrating Cues from Language,
Behavior and Networks","An In-depth Analysis of Abuses in Social Media – Integrating Cues from Language,
Behavior and Networks",,,,,"Tanmoy Chakraborty
Pete Burnap",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-159/2017,,Integration of space based SAR (BIG) data with ground based information for an improved near real time assessment and monitoring of seismic hazard,Integration of space based SAR (BIG) data with ground based information for an improved near real time assessment and monitoring of seismic hazard,,,,,"Tejpal Singh
Tim J Wright",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-160/2017,,"Flexible Supercapacitors based on conducting polymer coated metal oxide aerogel
nanostructures","Flexible Supercapacitors based on conducting polymer coated metal oxide aerogel
nanostructures",,,,,"Pravin P. Ingole
Stephen Hickey",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-161/2017,,UCL-IITI Partnership: Development of 3D Printable Biomimetic Hydrogels (Bio-inks),UCL-IITI Partnership: Development of 3D Printable Biomimetic Hydrogels (Bio-inks),,,,,"Apurba K. Das
Deepak Kalaskar",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-162/2017,,"In-situ bioremediation of non-aqueous phase liquids (NAPLs) pollution within the
Baddi-Barotiwala Nalagarh (BBN) Industrial Area in Himachal Pradesh, India","In-situ bioremediation of non-aqueous phase liquids (NAPLs) pollution within the
Baddi-Barotiwala Nalagarh (BBN) Industrial Area in Himachal Pradesh, India",,,,,"Brijesh Kumar Yadav
Paul Wood",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-163/2017,,"Vulnerability Assessment and Sustainable Solutions for Water Quality Management in
the Urban Environment","Vulnerability Assessment and Sustainable Solutions for Water Quality Management in
the Urban Environment",,,,,"Manish Kumar
David Werner",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-164/2017,,4D Micro-Stereolithography Printing of Scaffolds using Plant Oil Polymers and Graphene for Various Functional Biomedical Applications,4D Micro-Stereolithography Printing of Scaffolds using Plant Oil Polymers and Graphene for Various Functional Biomedical Applications,,,,,"A.S.S.BALAN
Krzysztof K.K.Koziol",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-165/2017,,"Robust Cyber Security Framework for Longitudinal Smart Energy Monitoring Device
Data (CS-SED)","Robust Cyber Security Framework for Longitudinal Smart Energy Monitoring Device
Data (CS-SED)",,,,,"Saikat Kumar Shome
Vladimiro Sassone",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-166/2017,,LOngshore Sediment Transport Simulations in a Changing Climate,LOngshore Sediment Transport Simulations in a Changing Climate,,,,,"Manasa Ranjan Behera
Dominic E. Reeve",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-167/2017,,Photo-Rechargeable Perovskite Batteries for Future Mobility,Photo-Rechargeable Perovskite Batteries for Future Mobility,,,,,"Shahab Ahmad , Jamia Millia Islamia
Michael De Volder",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-168/2017,,Automated Continuous Manufacturing Platform for Functional Nanoscale Materials,Automated Continuous Manufacturing Platform for Functional Nanoscale Materials,,,,,"Amol A. Kulkarni
Asterios Gavriilidis",,,,,,,,,,,,,,,,,
DST/INT/UK/ P-169/2017,,"Surface functionalization for food, packaging and healthcare applications","Surface functionalization for food, packaging and healthcare applications",,,,,"Suhas S. Joshi
Stefan Dimov",,,,,,,,,,,,,,,,,
,,"Classical operators on Sobolev and Banach function spaces and
quasi conformal analysis","Classical operators on Sobolev and Banach function spaces and
quasi conformal analysis",,,,,"Dr Pankaj Jain
Vladimir D. Stepanov",,,,,,,,,,,,,,,,,
,,Modern problems in low-dimensional topology in crossroad with geometry and algebra,Modern problems in low-dimensional topology in crossroad with geometry and algebra,,,,,"Mahender Singh
Andrei Vesnin",,,,,,,,,,,,,,,,,
,,"Helicity effects in magnetohydrodynamic, rotating, and convective turbulence","Helicity effects in magnetohydrodynamic, rotating, and convective turbulence",,,,,"Mahendra Kumar Verma
Rodion Stepanov",,,,,,,,,,,,,,,,,
